Garnitur-ID	Wagen_1	Wagen_2	Wagen_3	Wagen_4	Wagen_5	Wagen_6	Wagen_7	Wagen_8
M01	PwPost4ü-28	AB4ü-28	AB4ü-28	WR4ü	AB4ü-28	AB4ü-28		
M02	Pw4ü-34	C4ü-28	C4ü-28	AB4ü-28	C4ü-28	C4ü-28		
M03	Pw4ü-34	C4ü-28	WR4ü	C4ü-28	C4ü-28	C4ü-28		
M04	PwPost4ü	C4ü-28	BC4ü	C4ü-28	C4ü			
M05	Pw4ü-34	C4ü-28	C4ü-28	BC4ü-28	WR4ü	AB4ü-28	C4ü-28	C4ü-28
M06	Pw4ü-34	C4ü-28	AB4ü-28	C4ü-28				
M07	PwPost4ü	C4ü-28	C4ü-28	AB4ü-28	C4ü-28			
M08	Pw4ü-34	C4ü-28	C4ü-28	AB4ü-28	C4ü-28	C4ü-28	C4ü-28	
M09	Pw4ü-34	AB4ü-28	C4ü-28	C4ü-28				
M10	PwPost4ü-28	C4ü-28	C4ü-28	WR4ü	AB4ü-28	C4ü-28	C4ü-28	
M11	Pw4ü-34	C4ü-28	C4ü-28	BC4ü-28	C4ü-28	C4ü-28	C4ü-28	
M11	Pw4ü-34	C4ü-28	C4ü-bay08	BC4ü-28	C4ü-bay08	C4ü-bay08	C4ü-28	
