Bahnhof	lat	lon
Absberg	48,419290	15,968285
Absdorf-Hippersdorf	48,402996	15,984077
Achern	48,633022	8,065252
Adamstal	49,295744	16,662569
Adelschlag	48,840769	11,211376
Adelsheim Ost	49,402987	9,394855
Adorf (Vogtl)	50,323231	12,261043
Aich (Niederbay)	48,b417353	12,397900
Aistaig	48,314112	8,570323
Aitrang	47,819379	10,537434
Albbruck	47,592388	8,131428
Albert-Hauenstein	47,583010	8,106022
Aldingen (b Spaichingen)	48,095652	8,713059
Allensbach	47,714815	9,068270
Allentsteig	48,715204	15,330734
Allerding	48,410887	13,487134
Alsheim	49,765522	8,342485
Altenburg (Thür)	50,996580	12,443733
Althegnenberg	48,235993	11,063404
Altmittweida	50,968833	12,959533
Altmorschen	51,065430	9,613681
Altoberndorf	48,275053	8,596802
Altrip	49,443352	8,509254
Altstädten (Allgäu)	47,488383	10,280027
Ammendorf	51,425277	11,987758
Amselfing	48,858842	12,654705
Amstetten (Niederdonau)	48,121299	14,869137
Andorf (Innkr)	48,369365	13,566098
Ansbach	49,298039	10,579147
Anwanden	49,411643	10,930882
Apolda	51,031031	11,525173
Appenweier	48,541671	7,972727
Arnstadt Hbf	50,842235	10,947833
Arnstadt Süd	50,831177	10,954828
Aschbach (Url)	48,121528	14,870510
Aschersleben	51,757215	11,464577
Asperg	48,906705	9,147663
Aßmannshausen	49,985586	7,867756
Asten-St Florian	48,230276	14,417667
Attnang-Puchheim	48,014042	13,721924
Aubing	48,155952	11,413164
Auerbach (Bergstr)	49,701613	8,613453
Aufen	47,963261	8,475609
Auggen	47,790267	7,587175
Augsburg Hbf	48,365374	10,884876
Augsburg-Hochzoll	48,352941	10,943069
Augsburg-Oberhausen	48,380426	10,872173
Aurinoves	50,034099	14,591475
Auspitz	48,912459	16,706429
Aussig (Elbe) Stadt	50,659963	14,044561
Aussig (Elbe) Tepl Bf	50,658140	14,029069
Auwal	50,076201	14,723396
Baalberge	51,762422	11,783867
Backnang	48,942855	9,426613
Backnang (Spinnerei)	48,949619	9,453907
Bad Dürrenberg	51,181800	12,041400
Bad Elster	50,288462	12,240636
Bad Friedrichsfeld-Jagstfeld	49,232171	9,199419
Bad Friedrichshall-Kochendorf	49,217765	9,211435
Bad Königswart	49,993395	12,614021
Bad Kösen	51,130354	11,717949
Bad Köstritz	50,931658	12,028399
Bad Krozingen	47,920024	7,696953
Bad Neustadt (Saale)	50,327902	10,225654
Bad Reichenhall	47,731299	12,881813
Bad Reichenhall-Kirchberg	47,718655	12,873917
Bad Schallerbach-Wallern	48,228990	13,920536
Bad Schandau	50,918727	14,139404
Bad Sulza	51,094521	11,634264
Baden-Baden	48,767232	8,232574
Baden-Oos	48,790185	8,189621
Baiersdorf	49,657211	11,037698
Balgheim	48,065462	8,760567
Bamberg	49,900937	10,899725
Baruth (Brandenburg)	52,032700	13,304300
Basel DRB	47,568187	7,607346
Basel SBB	47,325100	7,351500
Batzhausen	49,191913	11,591263
Baumbach	51,028872	9,682131
Bäumenheim	48,681894	10,809517
Bayer, Gmain	47,720445	12,894773
Bebra	50,969157	9,797745
Beckstetten	47,978087	10,679569
Beelitz Stadt	52,242649	12,967472
Beiseförth	51,096043	9,537485
Bellingen	47,730722	7,557478
Bendorf (Rhein)	50,415355	7,573228
Beneschau	49,780156	14,682713
Bensheim	49,681736	8,615770
Beratshausen	49,093092	11,807556
Beraun	49,957515	14,075203
Berchtesgaden Hbf	47,626717	12,999122
Berg Maria Plain	47,831942	13,063087
Bergrheinfeld	49,995188	10,156131
Bergtheim	49,899389	10,076609
Bergwitz	51,803626	12,576213
Beringen Reichsb	47,695292	8,574572
Berlin Anhalter Bf	52,503696	13,382623
Berlin Potsd, Ringbf	52,508281	13,376284
Berlin-Lichterfelde Ost	52,254300	13,193700
Bernburg	51,796514	11,752110
Besigheim	48,997508	9,136591
Betzigau	47,738862	10,378990
Beuel	50,737813	7,127810
Beuggen	47,581968	7,810421
Biberach (Baden)	48,338394	8,032894
Biblis	49,689899	8,451576
Bickenbach (Bergstr)	49,759756	8,603411
Biebesheim	49,782068	8,474278
