KBS	km	Bahnhof	Anmerkung	
133a	0	Berlin Anhalter Bf		
133a	1,5	Yorckstraße		
133a	3,4	Papestraße		
133a	5,3	Priesterweg		
133a	6,6	Mariendorf		
133a	9,4	Marienfelde		
133a	11	Buckower Chaussee		
133a	12,4	Schichauweg		
133a	13,8	Lichtenrade		
133a	16,8	Mahlow		
133a	19,5	Blankenfelde		
133a	20,7	Dahlewitz		
133a	24,3	Rangsdorf		
133a	30,7	Dabendorf		
133a	32,9	Zossen		
133a	39,2	Wünsdorf (Kr Teltow)		
133a	42,2	Neuhof (Kr Teltow)		
133a	51,5	Baruth (Brandenburg)		
133a	56,1	Klasdorf		
133a	61,9	Golßen (Niederlausitz)		
133a	68,7	Drahnsdorf		
133a	76,1	Uckro (Reichsb)		
133a	81,2	Gehren (Kr Luckau)		
133a	85,6	Walddrehna		
133a	93,7	Brenitz-Sonnewalde		
133a	103	Doberlug-Kirchhain		
133a	108,9	Rückersdorf-Oppelhain		
133a	116,6	Hohenleipisch		
133a	121,5	Biehla		
133a	122,8	Elsterwerda		
133a	126,8	Prösen-Wainsdorf		
133a	131,5	Frauenhain		
133a	135,4	Zabeltitz		
133a	141,4	Großenhain Berl Bf		
133a	148,8	Böhla		
133a	157,4	Weinböhla		
133a	161,6	Neucoswig		
133a	165,8	Radebeul-Kötzschenbroda		
133a	169,5	Radebeul		
133a	176	Dresden-Neustadt		
133a	177,7	Dresden Wettinerstraße		
133a	179,9	Dresden Hbf		
133b	0	Berlin Anhalter Bf		
133b	1,5	Yorckstraße		
133b	3,4	Papestraße		
133b	5,3	Priesterweg		
133b	6,5	Südende		
133b	7,9	Lankwitz		
133b	9,2	Berlin-Lichterfelde Ost		
133b	11,6	Lichterfelde Süd		
133b	14,2	Teltow		
133b	18,4	Großbeeren		
133b	24,6	Ludwigsfelde		
133b	30,3	Thyrow		
133b	34,4	Trebbin (Kr Teltow)		
133b	46,1	Woltersdorf (b Luckenwalde)		
133b	49,8	Luckenwalde		
133b	55,2	Forst Zinna		
133b	58,6	Grüna-Kloster Zinna		
133b	62,8	Jüterbog		
133b	70,8	Oehna		
133b	75,7	Zellendorf		
133b	79,9	Linda (Elster)		
133b	88,2	Holzdorf (Elster)		
133b	101	Herzberg (Elster) Reichsb		
133b	112,1	Falkenberg (Elster)		
133b	121,5	Saxdorf		
133b	125,5	Neuburxdorf		
133b	135,5	Jacobsthal		
133b	140,7	Röderau		
133b	144,6	Glaubitz (b Riesa)		
133b	149,7	Weißig (b Großenhain)		
133b	157	Priestewitz		
133b	168	Niederau		
133b	174,3	Coswig (Bz Dresden)		
133b	178,1	Radebeul-Kötzschenbroda		
133b	181,8	Radebeul		
133b	188,3	Dresden-Neustadt		
133b	190	Dresden Wettinerstraße		
133b	192,2	Dresden Hbf		
133c	0	Elsterwerda-Biehla		
133c	1,6	Elsterwerda		
133c	5,1	Prösen		
133c	9,4	Gröditz (b Riesa)		
133c	15,3	Wülknitz		
133c	20,6	Zeithain		
133c	25,3	Riesa		
133e	0	Dresden Hbf		
133e	17	Pirna		
133e	21,9	Obervogelgesang (Sächs Schweiz)		
133e	25,4	Stadt Wehlen (Sachs)		
133e	28,6	Kurort Rathen (Sächs Schweiz)		
133e	34,8	Königstein (Sächs Schweiz)		
133e	39,7	Bad Schandau		
133e	41,3	Krippen		
133e	46,9	Schmilka-Hirschmühle		
133e	48,6	Schöna-Herrnskretschen		
133e	52,2	Niedergrund (Elbe)		
133e	58,7	Mittelgrund		
133e	61,9	Bodenbach		
133e	65,2	Wilsdorf		
133e	67,9	Kartitz		
133e	68,9	Topkowitz-Kartitz		
133e	72,4	Rangstock		
133e	72,5	Pömmerle		
133e	76,7	Nestersitz		
133e	78,1	Mosern		
133e	79,8	Nestomitz		
133e	82	Schönpriesen		
133e	84,6	Aussig (Elbe) Stadt		
133e	88,5	Wanow		
133e	94,1	Salesel		
133e	97,7	Praskowitz (Elbe)		
133e	99,3	Lichtowitz		
133e	100,3	Klein Czernosek		
133e	104,5	Lobositz Stadt		
133e	106,2	Lobositz		
133e	113,2	Theresienstadt		
134	0	Bodenbach		
134	3,3	Wilsdorf		
134	6	Kartitz		
134	7	Topkowitz-Kartitz		
134	10,5	Rangstock		
134	13,6	Pömmerle		
134	14,8	Nestersitz		
134	16,2	Mosern		
134	17,9	Nestomitz		
134	20,1	Schönpriesen		
134	22,7	Aussig (Elbe) Stadt		
134	23,8	Aussig (Elbe) Tepl Bf		
134	27,1	Türmitz		
134	29,3	Schönfeld		
134	31,5	Karbitz		
134	35,5	Marlaschein		
134	38,8	Turn-Probstau		
134	40,8	Teplitz-Schönau		
134	42,9	Settenz		
134	46,2	Ullersdorf		
134	50,9	Dux		
134	54,8	Preschen		
134	60,4	Maria Radschitz		
134	66,5	Brüx		
134	69,1	Tschausch		
134	71,3	Triebschitz		
134	74,4	Seestadtl		
134	78,7	Wurzmes		
134	81,9	Udwitz		
134	85	Komotau Hp		
134	86,3	Komotau Hbf		
134	91,4	Körbitz		
134	93,9	Deutsch Kralup		
134	99,1	Kanden-Brunnersdorf		
134	105,4	Klösterle (Eger)		
134	109,4	Ketwa		
134	112,8	Pürstein		
134	116	Wotsch		
134	119,1	Krondorf-Warta		
134	124,6	Wickwitz		
134	130,9	Schlackenwerth		
134	132,9	Schlackenwerth Stadt		
134	138,3	Neudau		
134	143,6	Dallwitz		
134	146,5	Karlsbad ob Bf		
134	151,2	Maierhöfen		
134	157,3	Chodau		
134	161,4	Neusattl		
134	164,4	Grasset		
134	169,3	Falkenau (Eger)		
134	172,6	Zieditz		
134	178,6	Maria Kulm		
134	183,9	Königsberg (Eger)		
134	187,2	Nebanitz		
134	193,3	Tirschnitz		
134	198,5	Eger		
139	0	Röderau		
139	3,5	Riesa		
139	9,4	Seehausen		
139	13,1	Stauchitz		
139	18,8	Ostrau		
139	22,4	Zschaitz		
139	28,1	Döbeln Nord		
139	29	Döbeln Hbf		
139	32,5	Limmritz (Sachs)		
139	35,3	Steina		
139	38,6	Waldheim		
139	45,2	Schweikershain		
139	49	Erlau (Sachs)		
139	51,6	Mittweida		
139	53,7	Altmittweida		
139	57,6	Ottendorf (b Mittweida)		
139	60,7	Oberlichtenau		
139	63,4	Chemnitz Kinderwaldstätte		
139	69,5	Chemnitz Hbf		
144a	2,4	Plauen (Vogtl) ob Bf		
144a	2,4	Plauen (Vogtl) West		
144a	9,1	Weischlitz		
144a	13	Pirk		
144a	19,5	Oelsnitz (Vogtl)		
144a	26,2	Hundsgrün		
144a	32,8	Adorf (Vogtl)		
144a	35,9	Bad Elster		
144a	41,2	Raun		
144a	49,5	Radiumbad Brambach		
144a	53,2	Fleißen		
144a	56,9	Schönberg (b Bad Brambach)		
144a	59,6	Voitersreuth		
144a	67,5	Franzensbad		
144a	74,1	Eger		
146	0	Leipzig Hbf		
146	2,1	Leipzig Alfred-Kindler-Str		
146	6	Leipzig-Stötteritz		
146	9,4	Leipzig-Connewitz		
146	12,1	Markleeberg		
146	14	Markleeberg-Großstädteln		
146	15,3	Gaschwitz		
146	17,4	Großdeuben		
146	20,6	Böhlen (b Leipzig)		
146	27	Neukieritzsch		
146	31	Deutzen		
146	34,6	Regis-Breitingen		
146	38,7	Trebanz-Treben		
146	44,5	Altenburg (Thür)		
146	54	Lehndorf (Kr Altenburg)		
146	59,5	Gößnitz		
146	63,6	Ponitz		
146	68,9	Crimmitschau		
146	72,6	Schweinsburg-Culten		
146	77,7	Werdau Nord		
146	79,7	Werdau		
146	88,1	Neumark (Sachs)		
146	96,8	Reichenbach (Vogtl) ob Bf		
146	102,1	Netzschkau		
146	105	Limbach (Vogtl)		
146	107,4	Herlasgrün		
146	111,8	Ruppertsgrün		
146	114,3	Jocketa		
146	117,5	Jößnitz		
146	122	Plauen (Vogtl) ob Bf		
146	128,2	Syrau		
146	133,1	Meltheuer		
146	139,3	Schönberg (Vogtl)		
146	147,2	Reuth b Plauen (Vogtl)		
146	155,5	Gutenfürst		
146	162,8	Feilitzsch		
146	168,3	Hof Hp		
146	170,6	Hof Hbf		
152	0	Aschersleben		
152	4,1	Groß Schierstedt		
152	7,8	Giersleben		
152	11,8	Güsten		
152	15,5	Ilberstedt		
152	23,4	Bernburg		
152	26,2	Solvayhall		
152	27,8	Baalberge		
152	33,1	Biendorf		
152	44,4	Köthen		
152	50	Osternienburg		
152	52,1	Elsnigk (Anh)		
152	58,8	Mosigkau		
152	62,1	Dessau-Alten		
152	65,5	Dessau Hbf		
152	68	Wallwitzhafen		
152	70,5	Dessau-Roßlau		
152	73,1	Meinsdorf		
152	81,5	Klieken		
152	87,5	Coswig (Anh)		
152	92,1	Griebo		
152	95,9	Piesteritz		
152	98,1	Klein Wittenberg		
152	100,5	Wittenberg Elbtor		
152	102,4	Wittenberg (Prov Sachs)		
155	0	Berlin Anhalter Bf		
155	1,5	Yorckstraße		
155	3,4	Papestraße		
155	5,3	Priesterweg		
155	6,5	Südende		
155	7,9	Lankwitz		
155	9,2	Berlin-Lichterfelde Ost		
155	11,6	Lichterfelde Süd		
155	14,2	Teltow		
155	18,4	Großbeeren		
155	24,6	Ludwigsfelde		
155	30,3	Thyrow		
155	34,4	Trebbin (Kr Teltow)		
155	46,1	Woltersdorf (b Luckenwalde)		
155	49,8	Luckenwalde		
155	54,8	Forst Zinna		
155	58,6	Grüna-Kloster Zinna		
155	62,8	Jüterbog		
155	69,2	Niedergörsdorf		
155	75,1	Blönsdorf		
155	84	Zahna		
155	87,4	Bülzig		
155	94,8	Wittenberg (Prov Sachs)		
155	98,8	Pratau		
155	104,2	Bergwitz		
155	111,6	Radis		
155	116,1	Gräfenhainichen		
155	121,5	Burgkemnitz		
155	126,6	Muldenstein		
155	131,6	Bitterfeld		
155	138,7	Roitzsch (Kr Bitterfeld)		
155	142	Brehna		
155	146,6	Landsberg (b Halle)		
155	152	Hohenthurm		
155	161,6	Halle (S) Hbf		
155	167,6	Ammendorf		
155	171,7	Schkopau		
155	175,3	Merseburg		
155	179,3	Leuna Werke		
155	185,4	Großkorbetha		
155	193,4	Weißenfels		
155	199,2	Leißling		
155	207,5	Naumburg (S) Hbf		
155	214,5	Bad Kösen		
155	220,4	Großheringen		
155	222,6	Bad Sulza		
155	228	Niedertrebra		
155	233,6	Apolda		
155	241	Oßmannstedt		
155	248,9	Weimar Reichsb		
155	256,7	Hopfgarten (b Weimar)		
155	262,8	Vieselbach		
155	270,2	Erfurt		
15x	0	Leipzig Hbf		
15x	2,4	Leipzig-Gohlis		
15x	4,2	Leipzig-Möckern		
15x	7	Leipzig-Leutzsch		
15x	9,8	Rückmarsdorf		
15x	12,5	Miltitz (b Leipzig)		
15x	15,3	Makranstädt		
15x	19,3	Großlehna		
15x	22,4	Kötzschau		
15x	26,1	Bad Dürrenberg		
15x	32,2	Großkorbetha		
156	0	Magdeburg Hbf		
156	2,3	Magdeburg-Neustadt		
156	8,2	Biederitz		
156	12	Königsborn		
156	15,5	Wahlitz		
156	20,7	Gommern		
156	27,2	Prödel		
156	29,8	Lübs (Bez Magdeburg)		
156	34,4	Güterglück		
156	42,7	Zerbst		
156	46,1	Jütrichau		
156	53,4	Tornau		
156	55,8	Dessau-Roßlau		
156	58,3	Wallwitzhafen		
156	60,8	Dessau Hbf		
156	65,1	Dessau-Süd		
156	72,2	Marke		
156	75,5	Raguhn		
156	78,7	Jeßnitz (Anh)		
156	81,3	Wolfen (Kr Bitterfeld)		
156	83,3	Greppin		
156	86,3	Bitterfeld		
156	91,1	Grube Ludwig		
156	98,2	Delitzsch Berl Bf		
156	103	Zschortau		
156	107,8	Rackwitz (b Leipzig)		
156	112,4	Neuwiederitzsch		
156	119,1	Leipzig Hbf		
161	0	Leipzig Hbf		
161	2,4	Leipzig-Gohlis		
161	4,2	Leipzig-Möckern		
161	7	Leipzig-Leutzsch		
161	11,2	Leipzig-Plagwitz		
161	14	Leipzig-Großzschocher		
161	16,7	Leipzig-Knauthain		
161	19,9	Bösdorf (Elster)		
161	21,8	Eythra		
161	25	Groß-Dalzig		
161	30,2	Pegau		
161	35,2	Profen		
161	37,7	Reuden (Kr Zeitz)		
161	39,8	Bornitz (b Zeitz)		
161	44,9	Zeitz		
161	50,8	Haynsburg		
161	55,2	Wetterzeube		
161	61,1	Krossen (Elster)		
161	66,6	Bad Köstritz		
161	68,7	Langenberg (Thür)		
161	73	Gera Hbf		
161	74,7	Gera Süd		
161	77	Gera-Zwötzen		
161	79,9	Wolfsgefärth		
161	85,2	Weida		
161	93,7	Niederpöllnitz		
161	100,6	Triptis		
161	104,5	Traun		
161	109	Neustadt (Orla)		
161	112,3	Neunhofen		
161	117,7	Oppurg		
161	122,6	Pößneck ob Bf		
161	126,3	Krölpa-Ranis		
161	130,7	Könitz (Thür)		
161	134,6	Unterwellenborn		
161	140,1	Saalfeld (Saale)		
163	0	Naumburg (S) Hbf		
163	7	Bad Kösen		
163	19,2	Camburg (Saale)		
163	26,3	Dornburg (Saale)		
163	30,7	Porstendorf		
163	33,7	Jena-Zwätzen		
163	36,6	Jena Saalbf		
163	38,5	Jena Paradies		
163	43,4	Göschwitz		
163	47,3	Rothenstein (Saale)		
163	52,9	Kahla (Thür)		
163	58,5	Orlamünde		
163	62,5	Zeutsch		
163	66,3	Uhlstädt		
163	71,5	Kirchhasel		
163	75,7	Rudolstadt (Thür)		
163	79,8	Schwarza (Saale)		
163	85,9	Saalfeld (Saale)		
163	91,7	Breternitz		
163	95,8	Eichicht (Saale)		
163	98	Hockeroda		
163	101,7	Unterloquitz		
163	106,8	Marktgölitz		
163	110,9	Probstzella		
170	0	Frankfurt (Main) Hbf		
170	4,5	Frankfurt (Main) Süd		
170	7,3	Frankfurt-Oberrad		
170	10,1	Offenbach (M) Hbf		
170	16	Mühlheim (Main)		
170	21,1	Steinheim (Main)		
170	22,9	Hanau Hbf		
170	25,3	Wolfgang (Kr Hanau)		
170	30,3	Niederrodenbach		
170	33,9	Langenselbold		
170	38	Niedermittlau		
170	41,2	Meerholz		
170	44,1	Geinhausen		
170	50,4	Wirtheim		
170	54,8	Wächtersb (Borb)		
170	61,4	Salmünster-Bad Soden		
170	68	Steinau (Kr Schlüchtern)		
170	74,3	Schlüchtern		
170	92,2	Flieden		
170	97,2	Neuhof (Kr Fulda)		
170	102,5	Kerzell		
170	110,6	Fulda		
170	117,2	Steinau (Kr Fulda)		
170	120,4	Marbach (Kr Fulda)		
170	127,1	Hünfeld		
170	131,5	Burghaun (Kr Hünfeld)		
170	140,1	Neukirchen (Kr Hünfeld)		
170	148	Oberhaun		
170	153,2	Hersfeld		
170	156,8	Friedlos		
170	160,1	Mecklar		
170	166,6	Bebra		
170	171,8	Ronshausen		
170	178,2	Hönebach		
170	185,4	Obersuhl		
170	187,7	Gerstungen		
170	194,3	Wommen		
170	198,6	Herleshausen		
170	201,4	Wartha		
170	203	Hörschel		
170	209,7	Eisenach West		
170	211,7	Eisenach		
170	216,8	Wutha		
170	219,5	Schönau		
170	224,8	Mechterstedt-Settelstedt		
170	230,1	Fröttstädt		
170	240,6	Gotha		
170	246,5	Seebergen		
170	251,5	Wandersleben		
170	256,1	Neudietendorf		
170	262,8	Bischleben		
170	268,6	Erfurt		
173	0	Kassel Hbf		
173	3,6	Kassel-Wilhelmshöhe		
173	8,3	Kassel-Oberzwehren		
173	10,7	Rengershausen		
173	13,7	Guntershausen		
173	17	Guxhagen		
173	21,5	Körle		
173	24,7	Röhrenfurth		
173	29,5	Melsungen		
173	33,1	Malsfeld		
173	35,2	Beiseförth		
173	39,9	Altmorschen		
173	44,4	Heinebach		
173	46,8	Baumbach		
173	52	Rotenburg (Fulda)		
173	54,6	Lispenhausen		
173	57,8	Bebra		
230	0	Köln Hbf		
230	1,2	Köln-Deutz		
230	3,6	Köln-Kalk		
230	8,2	Gremberghoven		
230	10,8	Porz-Urbach		
