Bahnhof	Region	Bauart
Arth Goldau	Schweiz	Einh
Athen	Griechenland	Einh
Augsburg	Bayern	bay
Bad Kissingen	Bayern	bay
Bad Mergentheim	Württemberg	württ
Baden-Baden	Baden	württ
Badgastein	Österreich	Einh
Basel DRB	Schweiz	Einh
Basel SBB	Schweiz	Einh
Belgrad	Jugoslawien	Einh
Berchtesgaden	Bayern	bay
Bodenbach	Tschechien	pr
Brenner	Österreich	Einh
Buchloe	Bayern	bay
Budapest	Ungarn	Einh
Chemnitz	Sachsen	pr
Chur	Schweiz	Einh
Dessau	Preußen	pr
Dresden	Sachsen	pr
Erfurt	Preußen	pr
Frankfurt	Preußen	pr
Frankfurt (Main)	Preußen	pr
Friedrichshafen	Württemberg	württ
Garmisch	Bayern	bay
Garmisch-Partenkirchen	Bayern	bay
Genf	Schweiz	Einh
Genua	Italien	Einh
Halle (S)	Preußen	pr
Hof	Bayern	bay
Innsbruck	Österreich	Einh
Karlsbad	Tschechien	Einh
Karlsruhe	Baden	württ
Kassel	Preußen	pr
Klagenfurt	Österreich	Einh
Konstanz	Baden	württ
Leipzig	Sachsen	pr
Lindau	Bayern	bay
Lugano	Schweiz	Einh
Luzern	Schweiz	Einh
Mailand	Italien	Einh
Mannheim	Baden	württ
Marienbad	Tschechien	Einh
Meran	Italien	Einh
München	Bayern	bay
Nizza	Frankreich	Einh
Nürnberg	Bayern	bay
Oberstdorf	Bayern	bay
Paris	Frankreich	Einh
Prag	Tschechien	Einh
Pressburg	Slowakei	Einh
Radiumbad Oberschlema	Sachsen	pr
Rom	Italien	Einh
Rom/Neapel	Italien	Einh
Saabrücken	Preußen	pr
Saarbrücken	Preußen	pr
Salzburg	Österreich	Einh
St Maurice	Frankreich	Einh
Stuttgart	Württemberg	württ
Suhl	Preußen	pr
Ulm	Württemberg	württ
Ventimiglia	Italien	Einh
Voitersreuth	Bayern	bay
Wien	Österreich	Einh
Wien Ostbf	Österreich	Einh
Wiesbaden	Preußen	pr
Wittenberg	Preußen	pr
Zürich	Schweiz	Einh
