ZugNr	GattungZp	GattungReal	GattungModell	VonZug	VonBf	NachBf	NachZug	Umlaufplan	Anmerkung
1	Post4ü			2	Frankfurt (Main)	Berlin	2	02. Jan	
1	WLAB			180	Frankfurt (Main)	Berlin	402	1452	
1	C4ü			2	Frankfurt (Main)	Berlin	2	1148	
1	WLC			2	Basel DRB	Berlin	2	1462	
1	AB4ü			188	Chur	Berlin	2	1745	
1	C4ü			188	Chur	Berlin	2	1745	
1	AB4ü			65	Rom	Berlin	2	1300	
1	WLAB			65	Nizza	Berlin	2	1270	
1	C4ü			65	Mailand	Berlin	2	1301	
1	WLAB			2	Basel SBB	Berlin	2	1460	
1	Pw4ü			2	Basel SBB	Berlin	2	54	
2	Post4ü			1	Berlin	Frankfurt (Main)	1	02. Jan	
2	Pw4ü			1	Berlin	Basel SBB	1	54	
2	WLAB 301			1	Berlin	Basel SBB	1	1460	
2	C4ü			1	Berlin	Chur	187	1745	
2	AB4ü			1	Berlin	Chur	187	1745	
2	AB4ü			1	Berlin	Rom	64	1300	bis Mailand 2 Abt 1. Kl
2	C4ü			1	Berlin	Mailand	64	1301	
2	WLAB			1	Berlin	Nizza	64	1270	
2	WLC 302			1	Berlin	Basel DRB	1	1462	
2	C4ü			1	Berlin	Frankfurt (Main)	1	1148	
3	Pw4ü			4	Frankfurt (Main)	Berlin	4	1140	
3	C4ü			4	Frankfurt (Main)	Berlin	4	1140	
3	C4ü			4	Frankfurt (Main)	Berlin	4	1140	
3	C4ü			4	Frankfurt (Main)	Berlin	4	1140	
3	C4ü			4	Frankfurt (Main)	Berlin	4	1140	
3	BC4ü			4	Frankfurt (Main)	Berlin	4	1140	
3	AB4ü			4	Frankfurt (Main)	Berlin	4	1140	
3	WR			44	Frankfurt (Main)	Berlin	356	1496	
3	AB4ü			137	Paris	Berlin	4	10	
3	C4ü			137	Paris	Berlin	4	10	
4	BC4ü			107	Berlin	Erfurt	107	17	vS
4	C4ü			3	Berlin	Paris	138	10	
4	AB4ü			3	Berlin	Paris	3	10	
4	WR			355	Berlin	Frankfurt (Main)	41	1496	
4	AB4ü			3	Berlin	Frankfurt (Main)	3	1140	
4	BC4ü			3	Berlin	Frankfurt (Main)	3	1140	S
4	C4ü			3	Berlin	Frankfurt (Main)	3	1140	
4	C4ü			3	Berlin	Frankfurt (Main)	3	1140	
4	C4ü			3	Berlin	Frankfurt (Main)	3	1140	
4	C4ü			3	Berlin	Frankfurt (Main)	3	1140	
4	Pw4ü			3	Berlin	Frankfurt (Main)	3	1140	
5	PwPost4ü	28	PwPost4ü-34	6	Frankfurt (Main)	Berlin	6	12	
5	AB4ü	28	AB4ü-28	6	Frankfurt (Main)	Berlin	6	12	
5	AB4ü	28	AB4ü-28	6	Frankfurt (Main)	Berlin	6	12	
5	WR4ü	29	WR4ü-28	6	Frankfurt (Main)	Berlin	6	1495	
5	AB4ü	28	AB4ü-28	85	Basel DRB	Berlin	6	14	
5	AB4ü	28	AB4ü-28	85	Frankfurt (Main)	Berlin	42	36	
5	Pw4ü	34		85	Frankfurt (Main)	Berlin	5104	1331	Bedarf
6	AB4ü	28	AB4ü-28	43	Berlin	Ventimiglia	86	16	
6	AB4ü	28	AB4ü-28	5	Berlin	Basel DRB	86	14	
6	WR4ü	29	WR4ü-28	5	Berlin	Frankfurt (Main)	5	1495	
6	AB4ü	28	AB4ü-28	5	Berlin	Frankfurt (Main)	5	12	
6	AB4ü	28	AB4ü-28	5	Berlin	Frankfurt (Main)	5	12	
6	PwPost4ü	28	PwPost4ü-34	5	Berlin	Frankfurt (Main)	5	12	
7	AB4ü	28		8	Konstanz	Berlin	8	1332	
7	WR4ü	29		8	Zürich	Berlin	8	1500	
7	AB4ü	28		8	Genua	Berlin	8	101	
7	AB4ü	28		8	Stuttgart	Berlin	8	1768	
7	Pw4ü	34		8	Stuttgart	Berlin	8	100	
8	AB4ü	28		7	Berlin	Konstanz	8	1332	
8	AB4ü	28		7	Berlin	Ventimiglia	8	101	
8	WR4ü	29		7	Berlin	Zürich	8	1500	
8	AB4ü	28		7	Berlin	Stuttgart	7	1768	Bedarf
8	Pw4ü	34		7	Berlin	Stuttgart	7	100	
9	C4ü			10	Konstanz	Berlin	10	1763	
9	ABC4ü			10	Konstanz	Berlin	10	1763	
9	WR			238	Konstanz	Berlin	10	1493	
9	C4ü			10	Stuttgart	Berlin	10	103	
9	ABC4ü			10	Stuttgart	Berlin	10	103	
9	Pw4ü			10	Stuttgart	Berlin	10	103	
10	Pw4ü			9	Berlin	Konstanz	9	103	
10	ABC4ü			9	Berlin	Konstanz	9	103	
10	C4ü			9	Berlin	Konstanz	9	103	
10	WR			9	Berlin	Stuttgart	237	1493	
10	ABC4ü			9	Berlin	Stuttgart	9	1763	
10	C4ü			9	Berlin	Stuttgart	9	1763	
13	Post4ü			14	Stuttgart	Berlin	14	Feb 18	
13	Pw4ü			165	Arth Goldau	Berlin	14	1747	
13	C4ü			14	Stuttgart	Berlin	14	116	
13	WLAB 306			14	Stuttgart	Berlin	14	1470	
13	WLAB 308			165	Zürich	Berlin	14	1468	
13	AB4ü			165	Rom/Neapel	Berlin	14	1303	bis Milano 3 Abt. 1. Kl
13	C4ü			165	Mailand	Berlin	14	1306	
13	BC4ü			313	Konstanz	Berlin	14	113	ü Singen
13	C4ü			313	Konstanz	Berlin	14	113	ü Singen
13	BC4ü			213	Saarbrücken	Berlin	14	1735	ü Osterburken
13	C4ü			14	Suhl	Berlin	14	115	
14	Post4ü			13	Berlin	Stuttgart	13	Feb 18	
14	Pw4ü			13	Berlin	Luzern	164	1747	
14	WLAB 306			13	Berlin	Stuttgart	13	1470	
14	C4ü			13	Berlin	Stuttgart	13	116	
14	AB4ü			13	Berlin	Rom/Neapel	164	1303	Ab Milano 3 Abt. 1. Kl
14	C4ü			13	Berlin	Mailand	164	1306	
14	WLAB 308			13	Berlin	Zürich	164	1468	
14	C4ü			13	Berlin	Konstanz	150	113	ü Singen
14	BC4ü			13	Berlin	Konstanz	150	113	ü Singen
14	BC4ü			13	Berlin	Saarbrücken	214	1735	ü Osterburken
14	C4ü			13	Berlin	Suhl	13	115	
14	C4ü			869	Berlin	Erfurt	869	114	
15	Pw4ü			16	Stuttgart	Berlin	16	1760	
15	AB4ü			16	Stuttgart	Berlin	16	1763	
15	C4ü			16	Stuttgart	Berlin	16	1763	
15	WR			16	Stuttgart	Berlin	16	1503	
15	C4ü			16	Stuttgart	Berlin	16	1763	
15	BC4ü			2141	Bad Mergentheim	Berlin	16	105	
15	ABC4ü			15	Bad Kissingen	Berlin	16	22	
15	C4ü			15	Bad Kissingen	Berlin	16	22	
15	AB4ü			15	Bad Kissingen	Berlin	16	22	
15	Pw4ü			15	Bad Kissingen	Berlin	16	22	
16	Pw4ü			15	Berlin	Stuttgart	15	1760	
16	C4ü			15	Berlin	Stuttgart	15	1503	
16	WR			15	Berlin	Stuttgart	15	1503	
16	C4ü			15	Berlin	Stuttgart	15	1763	
16	AB4ü			15	Berlin	Stuttgart	15	1763	
16	BC4ü			15	Berlin	Bad Mergentheim	3492	105	
16	AB4ü			15	Berlin	Bad Kissingen	16	22	
16	C4ü			15	Berlin	Bad Kissingen	16	22	
16	ABC4ü			15	Berlin	Bad Kissingen	16	22	
16	Pw4ü			15	Berlin	Bad Kissingen	16	22	
21	Post4ü			30	Leipzig	Berlin	30	Feb 28	
21	Pw4ü			24	München	Berlin	24	130	
21	C4ü			24	München	Berlin	24	130	
21	C4ü			24	München	Berlin	24	130	
21	WR			24	München	Berlin	70	1511	
21	BC4ü			24	München	Berlin	24	130	
21	AB4ü			24	München	Berlin	24	130	
21	ABC4ü			321	Nürnberg	Berlin	24	161	
21	C4ü			24	Hof	Berlin	24	163	
22	ABC4ü			323	Berlin	Nürnberg	122	165	
22	C4ü			23	Berlin	München	25	174	
22	C4ü			23	Berlin	München	25	174	
22	AB4ü			23	Berlin	München	25	174	
22	WR			23	Berlin	München	23	1512	
22	ABC4ü			23	Berlin	München	25	173	
22	C4ü			23	Berlin	München	25	173	
22	C4ü			23	Berlin	Rom	61	1308	
22	Pw4ü			23	Berlin	München	25	173	
23	Post4ü			5242	Leipzig	Berlin	5242	Feb 33	
