Gattung	ZugNr	GegenZugNr	Reisegeschwindigkeit	Zuglaufl?ge	Lok	Fotos
D	1	2	62	877	39 204	https://eisenbahnstiftung.de/images/bildergalerie/108228.jpg|https://eisenbahnstiftung.de/images/bildergalerie/105782.jpg|https://eisenbahnstiftung.de/images/bildergalerie/90748.jpg|https://eisenbahnstiftung.de/images/bildergalerie/85089.jpg|https://eisenbahnstiftung.de/images/bildergalerie/82834.jpg|https://eisenbahnstiftung.de/images/bildergalerie/82422.jpg|https://eisenbahnstiftung.de/images/bildergalerie/78006.jpg|https://eisenbahnstiftung.de/images/bildergalerie/34795.jpg|https://eisenbahnstiftung.de/images/bildergalerie/32268.jpg|https://eisenbahnstiftung.de/images/bildergalerie/20759.jpg
D	2	1	66	877	39 204	https://eisenbahnstiftung.de/images/bildergalerie/108217.jpg|https://eisenbahnstiftung.de/images/bildergalerie/96096.jpg|https://eisenbahnstiftung.de/images/bildergalerie/90301.jpg|https://eisenbahnstiftung.de/images/bildergalerie/43279.jpg|https://eisenbahnstiftung.de/images/bildergalerie/36917.jpg|https://eisenbahnstiftung.de/images/bildergalerie/17726.jpg|https://eisenbahnstiftung.de/images/bildergalerie/13459.jpg
D	3	4	71	539	39 204	https://eisenbahnstiftung.de/images/bildergalerie/81965.jpg|https://eisenbahnstiftung.de/images/bildergalerie/64991.jpg|https://eisenbahnstiftung.de/images/bildergalerie/50412.jpg|https://eisenbahnstiftung.de/images/bildergalerie/45563.jpg|https://eisenbahnstiftung.de/images/bildergalerie/42543.jpg|https://eisenbahnstiftung.de/images/bildergalerie/36611.jpg|https://eisenbahnstiftung.de/images/bildergalerie/32237.jpg
D	4	3	76	539	39 204	https://eisenbahnstiftung.de/images/bildergalerie/109913.jpg|https://eisenbahnstiftung.de/images/bildergalerie/108662.jpg|https://eisenbahnstiftung.de/images/bildergalerie/107283.jpg|https://eisenbahnstiftung.de/images/bildergalerie/103695.jpg|https://eisenbahnstiftung.de/images/bildergalerie/101595.jpg|https://eisenbahnstiftung.de/images/bildergalerie/93068.jpg|https://eisenbahnstiftung.de/images/bildergalerie/92020.jpg|https://eisenbahnstiftung.de/images/bildergalerie/90492.jpg|https://eisenbahnstiftung.de/images/bildergalerie/84445.jpg|https://eisenbahnstiftung.de/images/bildergalerie/54954.jpg|https://eisenbahnstiftung.de/images/bildergalerie/54874.jpg|https://eisenbahnstiftung.de/images/bildergalerie/54875.jpg|https://eisenbahnstiftung.de/images/bildergalerie/54606.jpg|https://eisenbahnstiftung.de/images/bildergalerie/54407.jpg|https://eisenbahnstiftung.de/images/bildergalerie/34640.jpg|https://eisenbahnstiftung.de/images/bildergalerie/34653.jpg|https://eisenbahnstiftung.de/images/bildergalerie/34657.jpg|https://eisenbahnstiftung.de/images/bildergalerie/20749.jpg|https://eisenbahnstiftung.de/images/bildergalerie/15794.jpg
FD	5	6	86	539	03 062	https://eisenbahnstiftung.de/images/bildergalerie/95981.jpg
FD	6	5	84	539	03 062	https://eisenbahnstiftung.de/images/bildergalerie/20750.jpg
FD	7	8	74	652	03 062	
FD	8	7	70	652	03 062	
D	9	10	64	830	39 204	https://eisenbahnstiftung.de/images/bildergalerie/65474.jpg|https://eisenbahnstiftung.de/images/bildergalerie/13728.jpg
D	10	9	68	916	39 204	https://eisenbahnstiftung.de/images/bildergalerie/103869.jpg|https://eisenbahnstiftung.de/images/bildergalerie/42578.jpg|https://eisenbahnstiftung.de/images/bildergalerie/25212.jpg
