Gattung	ZugNr	GegenZugNr	Reisegeschwindigkeit	Zuglaufl?ge	Lok
D	1	2	62	877	1
D	2	1	66	877	1
D	3	4	71	539	
D	4	3	76	539	38
FD	5	6	86	539	1
FD	6	5	84	539	1
FD	7	8	74	652	1
FD	8	7	70	652	1
D	9	10	64	830	1
D	10	9	68	916	1
D	13	14	61	921	1
D	14	13	53	850	1
D	15	16	59	652	1
D	16	15	58	652	1
D	21	22	67	652	1
D	22	21	68	652	1
D	23	24	70	652	1
D	24	23	66	652	1
D	25	26	63	652	1
D	26	25	64	652	1
D	29	30	69	652	1
D	30	29	66	652	1
D	31	-	79	162	1
FDt	33	34	100	882	
FDt	34	33	98	877	
D	37	38	78	164	1
D	38	37	83	164	1
D	39	40	72	675	1
D	40	39	67	675	1
D	41	42	69	888	1
D	42	41	64	877	1
D	43	44	67	877	1
D	44	43	66	877	1
D	45	46	63	580	1
D	46	45	64	580	1
D	49	50	68	675	1
D	50	49	68	675	1
D	51	52	52	722	1
D	52	51	54	722	1
D	53	54	99	180	1
D	54	53	93	180	1
D	55	56	60	388	1
D	56	55	72	388	1
D	57	58	92	180	1
D	58	57	95	180	1
D	59	60	74	192	1
D	60	59	76	192	1
D	61	62	53	440	1
D	62	61	57	453	1
D	63	64	59	384	1
D	64	63	50	371	1
E	67	68	58	180	1
E	68	67	69	180	1
D	69	72	65	213	1
D	70	71	63	675	1
D	71	70	70	674	1
D	72	69	59	213	1
D	73	74	73	210	1
D	74	73	67	213	1
D	75	76	79	210	1
D	76	75	64	213	1
E	77	78	62	213	1
E	78	77	61	213	1
FD	79	80	85	674	1
FD	80	79	100	825	1
E	87	88	56	180	1
E	88	87	59	180	1
D	91	92	58	806	1
D	92	91	70	894	1
D	107	108	64	430	1
D	108	107	76	536	1
D	113	114	62	652	1
D	114	113	58	652	1
E	120	121	67	164	3
E	121	120	70	164	3
D	125	126	72	487	1
D	126	125	67	487	1
D	139	140	75	674	1
D	140	139	71	674	1
D	147	148	63	768	1
D	148	147	63	768	1
D	149	150	70	674	1
D	150	149	73	674	1
D	155	156	66	926	1
D	156	155	66	926	1
D	185	186	56	388	1
D	186	185	54	388	1
D	226	227	57	730	1
D	227	226	56	730	1
D	237	238	58	677	1
D	238	237	56	677	1
D	239	240	72	675	1
D	240	239	64	675	1
D	241	244	63	628	1
D	244	241	69	628	1
D	245	246	69	877	1
D	246	245	71	877	1
P	281	-	35	112	1
P	285	286	48	161	1
P	286	285	45	192	1
P	292	-	42	112	1
P	309	310	37	62	1
P	310	309	38	62	1
P	311	312	36	180	1
P	312	311	43	180	1
P	313	314	50	122	1
P	314	313	44	180	1
P	315	316	39	180	1
P	316	315	44	189	1
P	317	318	38	149	1
P	318	317	46	197	1
P	319	320	61	180	1
P	320	319	53	242	1
P	321	-	44	103	1
D	322	323	61	730	1
D	323	322	59	730	1
P	330	-	38	103	1
D	401	402	61	734	1
D	402	401	64	734	1
D	479	480	72	612	1
D	480	479	70	613	1
P	501	502	44	63	1
P	502	501	45	63	1
P	505	-	44	63	1
P	507	508	44	63	1
P	508	507	50	63	1
P	515	-	42	63	1
P	518	-	52	63	1
P	525	-	37	63	1
P	527	528	36	63	1
P	528	527	45	63	1
FDt	551	552	102	685
FDt	552	551	97	685
FDt	571	572	104	693
FDt	572	571	107	699
D	591	592	66	847	1
D	592	591	66	847	1
P	800	-	36	63	1
P	803	-	43	162	1
P	816	-	48	63	1
P	818	-	40	162	1
P	827	-	42	270	1
P	829	-	40	95	1
P	833	-	47	162	1
P	847	848	65	63	1
P	848	847	51	743	1
P	849	850	64	164	1
P	850	849	68	164	1
P	855	-	65	164	1
P	862	-	38	63	1
P	866	-	55	63	1
P	868	869	60	162	1
P	869	868	41	539	1
P	897	-	43	63	1
P	901	-	49	63	1
P	904	905	41	63	1
P	905	904	39	63	1
P	1041	1042	58	70	1
P	1042	1041	58	70	1
P	1047	-	68	164	1
E	1145	-	66	132	1
D	1244	-	74	327	1
P	1835	-	57	70	1
P	1850	-	68	164	1
P	5242	-	42	164	1
