title	detail_url	thumbnail_url	caption
36 201 in Kassel	https://eisenbahnstiftung.de/images/bildergalerie/119530.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/119530_x.jpg	36 201 vom Bw Nordhausen wendet auf der nördlichen Drehscheibe 3 im Bw Kassel Bahndreieck. Die Lok überlebte sogar als eine von wenigen P 4² den Zweiten Weltkrieg. Nach Einsätzen bei den Bw Seddin und Brandenburg Altstadt endete ihr außergewöhnlich langes Leben. Die 1904 von Henschel in Cassel gebaute Lok wurde nach 50 Jahren am 25.05.1954 ausgemustert. (1931) <i>Foto: Rudolf Kreutzer</i>
38 459 in Nürnberg	https://eisenbahnstiftung.de/images/bildergalerie/119532.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/119532_x.jpg	Ein Bahnpolizist mit Diensthund patrouilliert in Nürnberg Hbf vor der Regensburger 38 459, die mit dem P 448 (Nürnberg ab 16.40 Uhr – Passau an 0.12 Uhr) auf die Abfahrt wartet. Nach dem Ersten Weltkrieg wurde mit der Verstaatlichung der Eisenbahnen im Deutschen Reich ein „hauptamtlicher Überwachungsdienst“ für die Gefahrenabwehr bei betrieblichen Einrichtungen, dem Gütertransport und dem Reiseverkehr eingerichtet. Die Aufgaben wurden seitdem durch hauptamtliche Bahnpolizisten wahrgenommen. Nach 1933 blieb die "Eisenbahnpolizei" Bestandteil der Deutschen Reichsbahn, unterstand aber seit 1936 den Weisungen des „Reichsführers SS und Chefs der Deutschen Polizei“.  (03.1934) <i>Foto: RVM</i>
Geislinger Steige (77)	https://eisenbahnstiftung.de/images/bildergalerie/119533.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/119533_x.jpg	Die Stuttgarter 39 030 erklimmt mit einem Schnellzug die Geislinger Steige. Zwischen Geislingen (Steige) und Amstetten (Württ) überwindet die Bahn auf 5,6 km Streckenlänge einen Höhenunterschied von 112 m. Das fahrtzeigende Vorsignal am Streckengleis nach Geislingen (Steige) gehört zur Blockstelle Knoll. (1931) <i>Foto: RVM (RBD Stuttgart)</i>
71 001''	https://eisenbahnstiftung.de/images/bildergalerie/119248.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/119248_x.jpg	Die Baureihe 71 war als Konkurrenzentwurf zu den Triebwagen der Deutschen Reichsbahn gedacht. Ähnlich der bereits 30 Jahre zuvor gebauten bayerischen Pt 2/4 H wurde eine moderne Heißdampf-Lokomotive konzipiert, die für Einmannbetrieb ausgelegt und mit Übergangseinrichtungen zum Zug versehen war. So sollte auch dem Omnibus und dem wachsenden Individualverkehr auf der Straße im Wettbewerb begegnet werden. Die BMAG übergab die Baumusterlok 71 001 (Zweitbesetzung) am 26.11.1934 dem RAW Grunewald zur eingehenden Erprobung bei der dort ansässigen Versuchsabteilung für Lokomotiven. Nach der am 25.04.1935 in Grunewald erfolgten Abnahmeuntersuchung wurde sie ab 19.05.1935 dem Bw Bamberg zugeteilt. Die Werkaufnahme zeigt die Lok im grauen Fotografieranstrich vor einer Fabrikhalle in Wildau.  (11.1934) <i>Foto: Werkfoto</i>
95 040 in Breternitz	https://eisenbahnstiftung.de/images/bildergalerie/119249.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/119249_x.jpg	95 040 (Bw Probstzella) rollt mit P 408 am Örtchen Breternitz zwischen Saalfeld (Saale) und Eichicht (Saale) - heute Kaulsdorf (Saale) - vorbei. (05.06.1939) <i>Foto: RVM-Filmstelle Berlin (Bellingrodt)</i>
elT 1224 in Eßlingen	https://eisenbahnstiftung.de/images/bildergalerie/119251.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/119251_x.jpg	Der frisch von der Maschinenfabrik Eßlingen angelieferte elT 1224 (späterer ET 65 024) präsentiert sich im Bahnhof Eßlingen. Nach Anschrift am Rahmen war die Abnahme am 27.04.1939 im RAW Eßlingen erfolgt. Ab 02.05.1939 zählte der Triebwagen zum Bestand des Bw Stuttgart-Rosenstein/Triebwagenbf Eßlingen. Als 465 024-8 wurde er auch hier am 31.05.1979 ausgemustert. (27.04.1939) <i>Foto: Werkfoto</i>
17 1200 in Sebaldsbrück	https://eisenbahnstiftung.de/images/bildergalerie/118736.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/118736_x.jpg	17 1200 vom Bw Altona während einer Ausbesserung im RAW Sebaldsbrück, seit Dezember 1939 RAW Bremen. Nach dem Krieg gehörte die Lok dem Bw Löhne (Westf) an und stand zuletzt in Brackwede abgestellt. Mit HVB-Verfügung vom 14. August 1950 wurde sie ausgemustert und 1951 als Schrottexport nach Jugoslawien verkauft.  (1937) <i>Foto: Theodor Düring</i>
Bw Darmstadt	https://eisenbahnstiftung.de/images/bildergalerie/118738.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/118738_x.jpg	1929 fanden sich Maschinenbaustudenten der Technischen Hochschule Darmstadt zusammen, um das "Lokomotivbildarchiv des Verkehrszentralamtes der Deutschen Studentenschaften" (DLA) zu gründen. Zu den Gründungsmitgliedern gehörte Hermann Maey, der es für das Foto im Bw Darmstadt mit den dort stationierten 91 394, 89 7381, 38 3430, 38 2641, 38 3071 und 38 3070 nicht weit hatte. (1929) <i>Foto: Hermann Maey</i>
E 05 103 in Halle/S	https://eisenbahnstiftung.de/images/bildergalerie/118741.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/118741_x.jpg	E 05 103 (Bw Leipzig Hbf West) während der Erprobungsphase im Bahnhof Halle (Saale). Als Vorspannlok vor der planmäßigen Zuglok der Baureihe 03 verlässt sie den Bahnsteig 7 (Ostseite) mit einem Reisezug nach Leipzig. An den Postgleisen vor dem Insel-Bf-Gebäude ist die Hallenser 38 2707 mit Rangierarbeiten beschäftigt.  (1934) <i>Foto: RVM</i>
E 18 15 bei Görlitz	https://eisenbahnstiftung.de/images/bildergalerie/118742.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/118742_x.jpg	E 18 15 vom Bw Hirschberg (Riesengeb) Hbf mit P 758 auf der Neißebrücke in Görlitz. Nach einem Frontalzusammenstoß am 24.10.1944 im Bahnhof Lichtenau (Schles) wurde sie im Dezember 1944 ausgemustert. (05.06.1936) <i>Foto: DLA Darmstadt (Bellingrodt)</i>
