ID	Epoche	BV	Gattungsbezirk	Ordnungsnummer	Direktion	Bahnbetriebswerk	Hst	Art.-Nr.
;Dampfloks
L1	II	DRG	01^0-2	01 004	Essen	Hamm	Tr	12276
L2	II	DRG	01^0-2	01 235	Regensburg	Hof	Ar	2521
L3	II	DRG	01^10	01 1059	Halle	Halle P	Fl	7174
L94	IV	DR	01^10	01 513	Erfurt	Erfurt-P	Ar	2525
L95	IV	DR	01.5	01 1531-1	Erfurt	Saalfeld	Ar	0348.0
L96	IV	DR	02	02 0201-0	Halle	Halle-G	HN	2428
L4	II	DRG	03^0-2	03 062	N�rnberg	N�rnberg	Tr	12830
L5	II	DRG		05 002			Ar	2217
L6	II	DRG	14^1 (S2/5)	14 141	M�nchen	M�nchen Hbf	Tr	12232
L7	II	DRG	17^2 (S102)	17 253	M�nster	Osnabr�ck	Tr	12831
L8	II	DRG	17^4 (S3/5)	17 419	N�rnberg	N�rnberg	Tr	12222
L9	II	DRG	18^5 (S3/6)	18 535	Mainz	Mainz	HN	2007
L10	II	DRG	24	24 047			Fl	7141
L11	II	DRG	36^4 (P42)	36 446	N�rnberg	N�rnberg Hbf	Ar	2545
L97	I	KPEV	(P8)	2510	Breslau		Fl	7829
L12	II	DRG	38^10-40	38 2025	Essen	Oberhausen	Fl	7818
L13	II	DRG	38^10-40	38 2025	Essen	Oberhausen	Fl	7818
L14	II	DRG	39	39 105	Berlin	Berlin Ahb	Fl	7827
L15	II	DRG	39	39 109	Erfurt	Erfurt	Fl	7912
L16	II	DRG	39	39 204	Stuttgart	Stuttgart	Fl	7139
L17	II	DRG	39	39 204	Stuttgart	Stuttgart	Fl	7139
L18	II	DRG	41	41 014	Essen	G�ttingen	Tr	12000
L19	II	DRG	44	44 141	N�rnberg	Treuchtlingen	Fl	714403
L98	IV	DR	44.0	44 0592-4			Fl	714472
L20	II	DRG	45	45 026			Tr	12309
L21	II	DRG	50	50 002	Halle	Leipzig-Wahren	Fl	7180
L99	III	DR	50	50 849			Fl	7181
L100	III	DR	52	52 705			Fl	715208
L101	I	KPEV	(G4.3)	3910	Stettin		Fl	7902-1
L22	II	DRG	53^7 (G4.3)	53 7752	Danzig	Danzig Rdz	Fl	7124
L23	II	DRG	54^15 (G3/4H)	54 1658	N�rnberg	N�rnberg	Tr	12308
L102	I	KPEV	(G8.1)	4914	Hannover		Fl	780901
L24	II	DRG	55^25-26 (G8.1)	55 4536	Wuppertal	Opladen	Fl	7154
L103	I	KPEV	(G8.2)	5351	Erfurt		Fl	781210
L25	II	DRG	56^2-8 (G8.2)	56 376	K�ln	K�ln Bbf	Li	161560
L26	II	DRG	56^8-11 (G4/5H)	56 1113	M�nchen	Treuchtlingen	Tr	2923
L27	II	DRG	56^20-29 (G8.2)	56 2264	Cassel	G�ttingen	Fl	7900-1
L28	II	DRG	56^20-29 (G8.2)	56 2048	Mainz	Mainz-Bisch	Fl	7156
L29	II	DRG	56^20-29 (G8.2)	56 2048	Mainz	Mainz-Bisch	Fl	7156
L104	I	KPEV	(G10)	5446			Tr	12248
L105	III	DRG	57^10-37 (G10)	57 2801	Schwerin	G�strow	Tr	12247
L106	I	KPEV	(G12)	5593	Erfurt		Tr	12608
L30	II	DRG	58^10-21 (G12)	58 1437	Dresden		Tr	12716
L31	II	DRG	61	61 001			Ar	0166.0
L32	II	DRG	62	62 010	Erfurt	Meiningen	Fl	7053
L33	II	DRG	64	64 365	Frankfurt	Frankfurt	Fl	7063
L107	IV	DR	65^10	65 1049-9	Magdeburg	G�sten	Br	1610
L108	I	KBayStsB	(Pt2/3)	6050			Fl	707085
L34	II	DRG	70 (Pt2/3)	70 066	M�nchen	Rosenheim	Fl	7071
L35	II	DRG	74^4-13 (T121)	74 1230	Berlin	Wustermark	Ar	2284
L36	II	DRG	75^10-11 (Vic)	75 1109	Karlsruhe	Waldheim?	Ar	0155
L109	I	KPEV	(T18)	8957	Essen		Fl	7820
L110	I	KPEV	(T18)	8428	Stettin		Fl	867913
L37	II	DRG	78^0-5 (T18)	78 017	Mainz	Alzey	Fl	7079
L38	II	DRG	78^0-5 (T18)	78 017	Mainz	Alzey	Fl	7887
L39	II	DRG	80^0	80 018	K�ln	K�ln Bbf	Fl	7027
L40	II	DRG	81^0	81 001	Magdeburg	Vienenburg	Fl	7035
L41	II	DRG	85	85 001	Karlsruhe	Freiburg	Tr	11455.0
L42	II	DRG	86	86 436			Fl	781101
L111	III	DR	86	86 184	Dresden	Riesa	Fl	F7087
L112	IV	DR	86	86 1001-6			Fl	931002
L113	I	KBayStsB	(R3/3)	4769			Tr	12255
L43	II	DRG	89^7 (R3/3)	89 707	M�nchen	M�nchen Hbf	Tr	11422.0
L44	II	DRG	89^74-75 (T3)	89 7493	Stettin	Stettin	Ar	2220
L114	I	KPEV	(T93)	7337	Berlin		Fl	781202
L115	I	KPEV	(T93)	7294	Altona		Fl	7898-1
L116	I	KPEV	(T93)	7337	Altona		Fl	7898-1
L117	III	DR	91^3-18 (T93)	91 1001			Fl	7030
L118	I	KPEV	(T13)	7909			Fl	781503
L45	II	DRG	92^5-10 (T13)	92 1004	Altona	Altona	Fl	709201
L46	II	DRG	92^20 (R4/4)	92 2048			Tr	11631
L47	II	DRG	93^5-12 (T141)	93 400	Berlin	Tempelhof	Ar	2292
L119	I	KPEV	(T12)	6081	Altona		Tr	12005
L48	II	DRG	98^3 (PtL2/2)	98 303			Tr	12212
L120	I	KPEV	(T161)	8177	Trier		Fl	7823
L121	I	KPEV	(T161)	8177	Trier		Fl	7823
L122	I	KPEV	(T161)	8177	Trier		Fl	7823
L123	I	KPEV	(T161)	8169			Fl	709483
L49	II	DRG	94^5-17 (T161)	94 733	Mainz	Darmstadt-Kranichstatt	Fl	7091
L50	II	DRG	94^5-17 (T161)	94 956	Breslau	Sommerfeld	Fl	7093
L51	II	DRG	95 (T20)	95 003	N�rnberg	Saalfeld	HN	2419
L124	IV	DR	95 (pr T20)	95 0009-1	Erfurt	Probstzella	HN	2186
L52	II	DRG	96 (Gt 2x4/4)	96 022	N�rnberg	Pressig-Rothenkirchen	Ar	2278
L125	I	KBayStsB	(BBII)	2502			Tr	11604-1
L53	II	DRG	98^7 (BBII)	98 731	Regensburg	Passau	Tr	12700
L54	II	DRG	98^8 (GtL4/4)	98 811	M�nchen	M�nchen Hbf	Fl	7098
L55	II	DRG	98^8 (GtL4/4)	98 811	M�nchen	M�nchen Hbf	Fl	7098
;Dampftriebwagen
L56	II	DRG	CidT	DW 6			Ar	2923
;Dieselloks
L57	II	DRG	V16	V 16 101			Tr	12800
L126	IV	DR	V60.0-1	106 094-6	Greifswald	Pasewalk	HN	2267
L127	IV	DR	V60.0-1	106 030-0	Schwerin	Wittenberge	HN	2356
L128	IV	DR	V60.12	106 530-9	Magdeburg	Stendal	Fl	722209
L129	IV	DB	V60	261 626-6			Tr	12620
L130	IV	DR	V100	111 032-9			Fl	5170001-1
L131	IV	DR	V100	110 226-8	Dresden	Reichenbach	Fl	721001
L132	IV	DR	V100	115 328-7	Erfurt	Saalfeld	Fl	931405-1
L133	IV	DB	V100	211 092-2	Stuttgart	T�bingen	Fl	7228
L134	IV	DR	V180	118 640-2	Magdeburg	Magdeburg	Fl	721301
L135	IV	DR	V180	118 616-4	Magdeburg	Brandenburg	Fl	721404
L136	IV	DR	V180	229 168-1			Fl	721402
L137	IV	DR	V180	118 104-9			Fl	7360028
L138	IV	DR	119	119 006-5	Erfurt	Probstzella	Br	1400
L139	IV	DR	119	119 191-5	Magdeburg		Br	61123
