z	Ep	BV	Gattung	Id	Gattungsbezi	Wagennummer	OVP	Herst	Art.-Nr.	Set	KK	LüP	Datum	KP	Quelle	Anmerkung
;Güterzugbegleitwagen
	I	KPEV	Pg	G1	Stettin			Fl	7902-2		X	53	05.01.2022	18	ebay	
	I	KPEV	Pg	G2	Frankfurt	5469		Fl	781210	81210	X	53	26.07.2022	20	dm-toys	Mit 20€ bewertet
	I	KPEV	Pg	G3	Frankfurt	5171		Fl	780901	81210	X	53	26.07.2022	20	dm-toys	Mit 20€ bewertet
	II	DRG	Pwg	G4	Frankfurt	95 647		Fl	7900-2	7900	X	53	23.11.2023	15	ebay	Mit Profikupplungen, mit 15€ bewertet
	II	DRG	Pwg	G5	Frankfurt	95 647		Fl	83 8800	900	X	53	14.12.2021	26,95	ebay	
x	II	DRG	Pwg	G6	Hannover	122 460		Fl	8300			53			MBW	
	II	DRG	Pwg	G7	Hannover	122 460		Fl	8302		X	53	08.08.2011	20,98	MSL	
	II	DRG	Pwg	G8	Hannover	122 460		Fl	8302		X	53	27.08.2011	18,99	MSL	
	II	DRG	Pwg	G9	Hannover	122 460		Fl	8302		X	53	27.08.2011	18,99	MSL	
	II	DRG	Pwg	G10	Hannover	122 460		Fl	8302		X	53	08.11.2018	20,5	ebay	
	II	DRG	Pwg	G11	Nürnberg	131 831		Tr	15055		X	53	09.11.2018	14,499	1zu160	
	IV	DR	Pwgs	G12		30 50 940 0032 - 4		Fl	830151		x	64	15.08.2023	36,07	Lokmuseum	
;Leig
	II	DRG	Pwg	G13	Stuttgart	132 781	O	Fl	8305		X	51	24.12.2004	14,295	SpMax 	Leig Teil 1 mit Pwg
	II	DRG	Glleh	G14	Dresden	6344		Fl	8305		X	73	24.12.2004	14,295	SpMax 	Leig Teil 2
	II	DRG	Glleh	G15	Dresden	6344		Fl	8305		X	73	03.09.2025	37,855	ebay	Leig Teil 1 mit Brsh - DCC  (Türen, Licht)
	II	DRG	Glleh	G16	Dresden	6344		Fl	8305		X	73	03.09.2025	37,855	ebay	Leig Teil 2 - DCC (Türen, Licht)
x	II	DRG	Glleh	G17	Dresden	11 483		Fl	8306		X	80			SMDV	Leig Teil 1 mi Brsh
x	II	DRG	Glleh	G18	Dresden	11 484		Fl	8306		X	73			SMDV	Leig Teil 2
	II	DRG	Glleh	G19	Dresden	11 483		Fl	8306		X	80	14.12.2002	12,25	ebay	Leig Teil 1 mi Brsh
	II	DRG	Glleh	G20	Dresden	11 484		Fl	8306		X	73	14.12.2002	12,25	ebay	Leig Teil 2
;Hilfszugwagen, Bauwagen
	II	DRG	Kran	G21	Nürnberg	700 210		Tr	13296			46		15,3387564358866	Pietsch	Kranwagen
	II	DRG	X	G22	Nürnberg	710 251		Tr	13296			46		15,3387564358866	Pietsch	Kranschutzwagen
	III	DB	Kran	G23				Fl	859902	859902	x		25.11.2021	21,798	ebay	Ardelt Dampfkran
	III	DB	Kran	G24				Fl	859902	859902	x		25.11.2021	21,798	ebay	Wagen z. Aufstützen
	III	DB	Kran	G25				Fl	859902	859902	x		25.11.2021	21,798	ebay	Wagen mit Gewichten
	III	DB	Kran	G26				Fl	859902	859902	x		25.11.2021	21,798	ebay	Wagen mit Bohlen
	III	DB	Kran	G27				Fl	859902	859902	x		25.11.2021	21,798	ebay	Begleitwagen
	II	DRG		G28	Frankfurt	700 004		Fl	818072		X	76	07.12.2006	7,63666666666667	ebay	Arztwagen Hilfszug
	II	DRG		G29	Frankfurt	701 952		Fl	818072		X	69				Mannschaftswagen Hilfszug 
	II	DRG		G30	Frankfurt	700 253		Fl	818380		X	68	07.12.2006	7,63666666666667	ebay	Gerätewagen Hilfszug
