GarniturId	Direction	Name	Type	FahrzeugId	Mirrored
M11	left	Fliegender Hamburger	lok	L62:0	0
M12	left	SVT 137 BA Hamburg	lok	L63:0	0
M13	left	SVT 137 BA Köln	lok	L64:0	0
M13	left	SVT 137 BA Köln	lok	L65:0	0
M16	left		lok	L31:0	0
M16	left		wagen	P164	0
M16	left		wagen	P163	0
M16	left		wagen	P162	0
M16	left		wagen	P161	0
M14	left	SVT Kruckenberg	lok	L61:0	0
M04	left	Riviera-Express	lok	L1:0	0
M04	left	Riviera-Express	wagen	P136	0
M04	left	Riviera-Express	wagen	P138	0
M04	left	Riviera-Express	wagen	P140	0
M04	left	Riviera-Express	wagen	P139	0
M04	left	Riviera-Express	wagen	P137	0
M17	left	Rheingold	lok	L9:0	0
M17	left	Rheingold	wagen	P121	0
M17	left	Rheingold	wagen	P122	0
M17	left	Rheingold	wagen	P123	0
M17	left	Rheingold	wagen	P124	0
M17	left	Rheingold	wagen	P125	0
M32	left		wagen	P126	0
M32	left		wagen	P127	0
M32	left		wagen	P128	0
M32	left		wagen	P129	0
M32	left		wagen	P130	0
M28	left	Karwendelexpress	lok	L73:0	0
M28	left	Karwendelexpress	wagen	P131	0
M28	left	Karwendelexpress	wagen	P135	0
M28	left	Karwendelexpress	wagen	P132	0
M28	left	Karwendelexpress	wagen	P133	0
M28	left	Karwendelexpress	wagen	P134	0
M30	left	Dsl	lok	L15:0	0
M30	left	Dsl	wagen	P68	0
M30	left	Dsl	wagen	P70	0
M30	left	Dsl	wagen	P72	0
M30	left	Dsl	wagen	P73	0
M30	left	Dsl	wagen	P69	0
M30	left	Dsl	wagen	P120	0
M30	left	Dsl	wagen	P190	0
M30	left	Dsl	wagen	P71	0
M41	left	Post	lok	L11:0	0
M41	left	Post	wagen	P142	0
M41	left	Post	wagen	P248	0
M41	left	Post	wagen	P249	0
M41	left	Post	wagen	P250	0
M41	left	Post	wagen	P251	0
M41	left	Post	wagen	P1	0
M01	left	FD 28er	lok	L4:0	0
M01	left	FD 28er	wagen	P143	0
M01	left	FD 28er	wagen	P144	0
M01	left	FD 28er	wagen	P145	0
M01	left	FD 28er	wagen	P157	0
M01	left	FD 28er	wagen	P146	0
M01	left	FD 28er	wagen	P147	0
M42	left	FD 35er	lok	L68:0	0
M42	left	FD 35er	wagen	P179	0
M42	left	FD 35er	wagen	P165	0
M42	left	FD 35er	wagen	P171	0
M42	left	FD 35er	wagen	P168	0
M42	left	FD 35er	wagen	P172	0
M02	left		lok	L3,L69:1	0
M02	left		wagen	P169	0
M02	left		wagen	P180	0
M02	left		wagen	P183	0
M02	left		wagen	P185	0
M02	left		wagen	P186	0
M02	left		wagen	P181	0
M02	left		wagen	P192	0
M02	left		wagen	P182	0
M02	left		wagen	P191	0
M02	left		wagen	P184	0
M02	left		wagen	P189	0
M02	left		wagen	P187	0
M02	left		wagen	P188	0
M31	left		lok	L32:0	0
M31	left		wagen	P170	0
M31	left		wagen	P193	0
M31	left		wagen	P178	0
M31	left		wagen	P166	0
M31	left		wagen	P160	0
M31	left		wagen	P177	0
M31	left		wagen	P176	0
M31	left		wagen	P175	0
M31	left		wagen	P174	0
M31	left		wagen	P167	0
M31	left		wagen	P173	0
M24	left		lok	L2:0	0
M24	left		wagen	P141	0
M24	left		wagen	P156	0
M24	left		wagen	P152	0
M24	left		wagen	P155	0
M24	left		wagen	P151	0
M24	left		wagen	P158	0
M24	left		wagen	P154	0
M24	left		wagen	P153	0
M24	left		wagen	P149	0
M24	left		wagen	P150	0
M24	left		wagen	P148	0
M36	left		lok	L14:0	0
M36	left		wagen	P112	0
M36	left		wagen	P113	0
M36	left		wagen	P114	0
M36	left		wagen	P119	0
M36	left		wagen	P118	0
M36	left		wagen	P115	0
M36	left		wagen	P117	0
M36	left		wagen	P116	0
M36	left		wagen	P159	0
M25	left		lok	L6:0	0
M25	left		wagen	P21	0
M25	left		wagen	P26	0
M25	left		wagen	P27	0
M25	left		wagen	P23	0
M25	left		wagen	P57	0
M25	left		wagen	P31	0
M25	left		wagen	P32	0
M25	left		wagen	P33	0
M26	left		lok	L8:0	0
M26	left		wagen	P6	0
M26	left		wagen	P19	0
M26	left		wagen	P11	0
M26	left		wagen	P10	0
M26	left		wagen	P17	0
M26	left		wagen	P18	0
M26	left		wagen	P55	0
M26	left		wagen	P67	0
M26	left		wagen	P66	0
M26	left		wagen	P49	0
M29	left		lok	L7:0	0
M29	left		wagen	P37	0
M29	left		wagen	P48	0
M29	left		wagen	P63	0
M29	left		wagen	P64	0
M29	left		wagen	P51	0
M29	left		wagen	P50	0
M29	left		wagen	P56	0
M29	left		wagen	P65	0
M29	left		wagen	P52	0
M03	left		lok	L72:0	0
M03	left		wagen	P204	0
M03	left		wagen	P200	0
M03	left		wagen	P201	0
M03	left		wagen	P202	0
M03	left		wagen	P203	0
M37	left		lok	L16:0	0
M37	left		wagen	P194	0
M37	left		wagen	P197	0
M37	left		wagen	P196	0
M37	left		wagen	P195	0
M37	left		wagen	P198	0
M37	left		wagen	P199	0
M05	left		lok	L13:0	0
M05	left		wagen	P38	0
M05	left		wagen	P95	0
M05	left		wagen	P78	0
M05	left		wagen	P101	0
M05	left		wagen	P85	0
M05	left		wagen	P89	0
M05	left		wagen	P88	0
M05	left		wagen	P87	0
M05	left		wagen	P100	0
M05	left		wagen	P86	0
M05	left		wagen	P84	0
M05	left		wagen	P99	0
M05	left		wagen	P96	0
M05	left		wagen	P97	0
M05	left		wagen	P98	0
M33	left		lok	L35:0	0
M33	left		wagen	P260	0
M33	left		wagen	P275	0
M33	left		wagen	P274	0
M33	left		wagen	P273	0
M33	left		wagen	P272	0
M33	left		wagen	P277	0
M33	left		wagen	P276	0
M38	left		wagen	P247	0
M38	left		wagen	P252	0
M38	left		wagen	P253	0
M38	left		wagen	P256	0
M38	left		wagen	P254	0
M38	left		wagen	P255	0
M38	left		wagen	P237	0
M38	left		wagen	P238	0
M38	left		wagen	P257	0
M38	left		wagen	P231	0
M27	left		lok	L10:0	0
M27	left		wagen	P284	0
M27	left		wagen	P285	0
M27	left		wagen	P286	0
M27	left		wagen	P293	0
M27	left		wagen	P287	0
M27	left		wagen	P288	0
M27	left		wagen	P289	0
M27	left		wagen	P291	0
M27	left		wagen	P290	0
M27	left		wagen	P292	0
