z	Ep	BV	Adr	Dec	SS	KD	GAM	Puf	NMZ	Gattung neu	Gattung alt	ID	Ordnungsnummer	RBD oder Bezirk	BW	Hst	Artikelnummer	Set	LüP	Datum	Ohne OVP	Zust	Kaufpreis	Quelle	Anmerkung
;Dampfloks
	II	DRG	2	DCX75	NEM651	-	-	-	-	01^0-2		L1	01 004	Essen	Hamm	Tr	12276		150	24.07.2011		neu	175,98	ebay	
	II	DRG	1	DCX75	Ohne	-	-	-	-	01^0-2		L2	01 235	Regensburg	Hof	Ar	2521		149	02.02.1998		neuw	94,5889980213004	MBFm	
	II	DRG	4	DHL160	Ohne	x	-	-	-	01^10		L3	01 1059	Halle	Halle P	Fl	7174		158	18.03.2016		gebr	79,7	1zu160	
	IV	DR			Ohne	-	-	-	-	01^10		L94	01 513	Erfurt	Erfurt-P	Ar	2525		149	21.08.2026		gebr	126,27	ebay	Ölfeuerung, Boxbok, Umlaufschürze, kegelförmige Rauchkammertür. Ohne OVP
	IV	DR			Ohne	-	-	-	-	01.5		L95	01 1531-1	Erfurt	Saalfeld	Ar	0348.0	0348	149	12.10.2024		neuw	117,48	Modellbahn Rhein-Main	Kohlefeuerung. Im Set, Wagen mit je 30€ bewertet
	IV	DR		DH05C	NEM651	-	-	-	-	02		L96	02 0201-0	Halle	Halle-G	HN	2428		180	01.09.2020		neu	155,99	SpMax	
	II	DRG	3	DCX75	Ohne	-	x	-	-	03^0-2		L4	03 062	Nürnberg	Nürnberg	Tr	12830		150	10.11.1997		neuw	96,6341655460853	MBW	
x	II	DRG			Ohne	-	-	-	-			L5	05 002			Ar	2217		164	13.07.1905		gebr	114,99	ebay	
	II	DRG			Löt	-	-	-	-	14^1	S2/5	L6	14 141	München	München Hbf	Tr	12232		123	12.01.2020		neuw	114,75	ebay	Schon 1927 ausgemustert
	II	DRG			Ohne	-	-	-	-	17^2	S102	L7	17 253	Münster	Osnabrück	Tr	12831		132	11.06.2020		gebr	68,38	ebay	Selten: Brüniert, Ms-Beschriftung, nur so im Set
	II	DRG	17	N025	NEM651	-	-	-	-	17^4	S3/5	L8	17 419	Nürnberg	Nürnberg	Tr	12222		123	09.12.2018		neuw	117,64	ebay	
	II	DRG	18	DCX75	NEM651	-	-	-	-	18^5	S3/6	L9	18 535	Mainz	Mainz	HN	2007		133	11.06.2009		neu	94,74	Kramm	
	II	DRG			Ohne	-	-	-	-	24		L10	24 047			Fl	7141		106	10.11.2015		neuw	105	1zu160	
	II	DRG			Ohne	-	-	-	-	36^4	P42	L11	36 446	Nürnberg	Nürnberg Hbf	Ar	2545		71,04	13.06.2021		gebr	71,04	ebay	Mit brünierten Rädern
	I	KPEV			Ohne	-	-	-	-		P8	L97	2510	Breslau		Fl	7829	7899	122	04.01.2022		neuw	107,335	ebay	Wagen mit je 20€ bewertet
	II	DRG			Ohne	-	-	-	-	38^10-40		L12	38 2025	Essen	Oberhausen	Fl	7818		122	12.12.1994		neu	89,777741419244	SpMax	Ruhrschnellverkehr
	II	DRG			Ohne	-	-	-	-	38^10-40		L13	38 2025	Essen	Oberhausen	Fl	7818	7888	122	15.06.2015		neuw	80	ebay	Ruhrschnellverkehr, im Set erworben und mit 80€ bewertet
	II	DRG			Ohne	-	-	-	-	39		L14	39 105	Berlin	Berlin Ahb	Fl	7827		144	23.05.2007		neuw	104,9	ebay	Grün, später Fahrwerkstausch mit P10, dadurch brünierte Räder
	II	DRG			Ohne	-	-	-	-	39		L15	39 109	Erfurt	Erfurt	Fl	7912	7912	144	24.03.2023		neuw	65	ebay	Im Set 7912 (Pleitegeier) und zwei Ergänzungswagen (je 20€ bewertet)
	II	DRG			Ohne	-	-	-	-	39		L16	39 204	Stuttgart	Stuttgart	Fl	7139		144	22.02.1996		neu	123,732635249485	Spitzner	
x	II	DRG			Ohne	-	-	-	-	39		L17	39 204	Stuttgart	Stuttgart	Fl	7139		144	26.09.2008		gebr	63,9	ebay	Blanke Räder, abstoßen
	II	DRG			Ohne	-	-	-	-	41		L18	41 014	Essen	Göttingen	Tr	12000		150	02.05.2006		neu	122,198759605896	Spitzner	
