z	Korr	Ep	BV	Bel	Gattung	Bezirk	Wagennr.	Id	OVP	Herst	Art.-Nr.	Set	LüP	Datum	KP	Quelle	Zugschluss	Zuglauf	Anmerkung
;Etc
		II	RP	-	Post4-a/15-38	Erfurt	5084	P1	¨	Di	010118		102	18.09.2012	15,49	ebay			
		II	DRG	-	Hz4ü-44	Berlin	736 762	P2		HT	23901		106	28.12.2017	25	1zu160			Bf Berlin Pof
		II	DRG	-	Hz3i-pr05	Osten	730 003	P3		Fl	8382		74	09.11.2018	20,499	1zu160			
		II	DRG	-	Cigd-pr91		088 719	P4		Fl	8368		63	09.11.2018	17,499	1zu160			Fakultativwagen
;Bay. Schnellzugwagen
	Bild	I	Pfalzbahn	-	PPü 		290	P5		Tr	15709	15709	108	14.12.2024	25	ebay			Im Set Pfalzbahn; einseitig UV-ausgeblichen
		II	DRG	-	Pw4ü-bay06	München	107 253	P6		Tr	15859-06	15859	108	12.08.2011	14,2583333333333	ebay			Im Set D119
		I	KBayStsB	-	ABB4ü 	München	21 088	P7		Tr	13715		119	25.07.2023	20,6133333333333	ebay		Rom-München-Hof-Leipzig-Berlin	N-tram-Kuppelstange, mit 2€ bewertet
		I	KBayStsB	-	ABB4ü 	München	21 088	P8		Tr	13715		119	09.01.2025	16,83	1zu160		Rom-München-Hof-Leipzig-Berlin	
		I	KBayStsB	-	ABB4ü 	München	21 088	P9		Tr	13715		119	09.01.2025	16,83	1zu160		Rom-München-Hof-Leipzig-Berlin	
		II	DRG	-	AB4ü-bay02	München	13 190	P10		Tr	15859-05	15859	119	12.08.2011	14,2583333333333	ebay			Im Set D119
		II	DRG	-	AB4ü-bay02	München	13 191	P11		Tr	15859-01	15859	119	12.08.2011	14,2583333333333	ebay			Im Set D119
	Bild	I	Pfalzbahn	-	ABCCü 		5062	P12		Tr	15709	15709	119	14.12.2024	25	ebay			Im Set Pfalzbahn; einseitig UV-ausgeblichen
		I	KBayStsB	-	CC 	München	26 011	P13		Tr	13716		119	25.07.2023	20,6133333333333	ebay		Rom-München-Hof-Leipzig-Berlin	N-tram-Kuppelstange, mit 2€ bewertet
		I	KBayStsB	-	CC 	München	26 011	P14		Tr	13716		119	09.01.2025	16,83	1zu160		Rom-München-Hof-Leipzig-Berlin	
	Bild	I	Pfalzbahn	-	CCü 		1732	P15		Tr	15709	15709	119	14.12.2024	25	ebay			Im Set Pfalzbahn; einseitig UV-ausgeblichen
	Bild	I	Pfalzbahn	-	CCü 		3071	P16		Tr	15709	15709	119	14.12.2024	25	ebay			Im Set Pfalzbahn; einseitig UV-ausgeblichen
		II	DRG	-	C4ü-bay08	München	17 652	P17		Tr	15859-04	15859	119	12.08.2011	14,2583333333333	ebay			Im Set D119
x		II	DRG	-	C4ü-bay08	München	17 645	P18		Tr	15701		119	30.04.2003	29	SMDV			
		II	DRG	x	C4ü-bay08	München	17 647	P19		Tr	11455.2	11455	119	01.10.2019	20	ebay			Im Set Schwarzwaldbahn
;Württ. Schnellzugwagen
		I	KWStE	-	PP pr00	Württemberg	6581	P20		Ar	3357		121	19.12.2024	13,99	ebay			
		II	DRG	-	Pw4ü-pr00	Altona	108 601	P21		Ar	3353		121	06.05.2019	14,225	ebay			
		I	KWStE	-	ABCCü 		1838	P22		Ar	3355		121	29.07.2023	15	ebay			
		II	DRG	-	ABC4ü-wü12	Stuttgart	14 936	P23		Ar	3351		121	06.05.2019	14,225	ebay			
		I	KWStE	-	BCCü 		5807	P24		Ar	3354		121	21.08.2023	17,6333333333333	ebay			
		I	KWStE	-	BCCü 		5807	P25		Ar	3354		121	04.12.2024	10,4966666666667	ebay			
		II	DRG	-	BC4ü-wü09	Stuttgart	15 922	P26		Ar	3350		121	2002	25	SMDV			Preis nachträglich geschätzt
		II	DRG	-	BC4ü-wü09	Stuttgart	15 922	P27		Ar	3350		121	06.05.2019	14,225	ebay			
		I	KWStE	-	CCü 		6332	P28		Ar	3356		121	21.08.2023	17,6333333333333	ebay			
		I	KWStE	-	CCü 		6332	P29		Ar	3356		121	04.12.2024	10,4966666666667	ebay			
		I	KWStE	-	CCü 		6332	P30		Ar	3356		121	04.12.2024	10,4966666666667	ebay			
x		II	DRG	-	C4ü-wü11	Stuttgart	18 023	P31		Ar	3352		121	06.05.2019	14,225	ebay			
		II	DRG	-	C4ü-wü11	Stuttgart	18 023	P32		Ar	3352		121	2002	25	SMDV			Preis nachträglich geschätzt
		II	DRG	-	C4ü-wü11	Stuttgart	18 023	P33		Ar	3352		121	2002	25	SMDV			Preis nachträglich geschätzt
;Preuß. Schnellzugwagen
		I	KPEV	-	PP 	Halle	1141	P34		Fl	8840	7894	116	05.04.2023	14,945	ebay		Von Berlin Anh. Bhf. über Leipzig Hof nach München H.B.	
		I	KPEV	-	PP 	Posen	3107	P35		Fl	808001		116	12.06.2023	12,7475	ebay		Von .... nach Danzig' 	
