Excel-Zeile	Id	Gattung	Hersteller	Artikelnummer
4	P1	Post4-a/15-38	Di	010118
5	P2	Hz4ü-44	HT	23901
6	P3	Hz3i-pr05	Fl	8382
7	P4	Cigd-pr91	Fl	8368
10	P6	Pw4ü-bay06	Tr	15859-06
14	P10	AB4ü-bay02	Tr	15859-05
15	P11	AB4ü-bay02	Tr	15859-01
21	P17	C4ü-bay08	Tr	15859-04
22	P18	C4ü-bay08	Tr	15701
23	P19	C4ü-bay08	Tr	11455.2
26	P21	Pw4ü-pr00	Ar	3353
28	P23	ABC4ü-wü12	Ar	3351
31	P26	BC4ü-wü09	Ar	3350
32	P27	BC4ü-wü09	Ar	3350
36	P31	C4ü-wü11	Ar	3352
37	P32	C4ü-wü11	Ar	3352
38	P33	C4ü-wü11	Ar	3352
43	P37	Pw4ü-pr04	Fl	8080
44	P38	Pw4ü-pr04	Fl	8080
45	P39	Pw4ü-pr07a	Fl	858860
54	P48	C4ü-pr08	Fl	8083
55	P49	C4ü-pr08	Fl	8083
56	P50	C4ü-pr08	Fl	8083
57	P51	C4ü-pr08	Fl	858863
58	P52	C4ü-pr08	Fl	858364
61	P55	WR4ü-pr11	Fl	8081
62	P56	WR4ü-pr11	Fl	8081
63	P57	WR4ü-pr11	Fl	858862
69	P63	AB6ü-pr06	Fl	8079
70	P64	ABC4ü-pr09	Fl	8082
71	P65	ABC4ü-pr09	Fl	858861
72	P66	ABC4ü-pr09	Fl	858861
73	P67	ABC4ü-pr09	Fl	858861
74	P68	WL4ü-pr01	Fl	858865
75	P69	WL4ü-pr01	Fl	8078
76	P70	WL4ü-pr01	Fl	8078
77	P71	WL4ü-pr01	Fl	8078
78	P72	WL6ü-pr01	Fl	807801
79	P73	WL6ü-pr01	Fl	807801
84	P75	Pw4-pr04	Fl	8084
87	P78	Post4-prb/17	Fl	881005
93	P84	B4-pr04	Fl	8085
94	P85	BC4-pr04	Fl	8873
95	P86	BC4-pr04	Fl	8873
96	P87	BC4-pr04	Fl	8873
97	P88	BC4-pr04	Fl	8873
98	P89	BC4-pr04	Fl	8873
104	P95	C4-pr04	Fl	8874
105	P96	C4-pr04	Fl	8086
